connectionId,positive_similarity_results,negative_similarity_results
179076,"{'energie': {'n_occurrences': 3, 'pairwise_sims': [0.9764509881992189, 0.9112435808670827, 0.9202163990978751], 'mean_sim': np.float64(0.9359703227213924)}, 'goesting': {'n_occurrences': 2, 'pairwise_sims': [0.9469059419622505], 'mean_sim': np.float64(0.9469059419622505)}}",{}
179076,"{'heerlijk': {'n_occurrences': 2, 'pairwise_sims': [0.8774507680608765], 'mean_sim': np.float64(0.8774507680608765)}, 'geweldig': {'n_occurrences': 2, 'pairwise_sims': [0.9437361424963807], 'mean_sim': np.float64(0.9437361424963807)}}",{}
179076,"{'zalig': {'n_occurrences': 2, 'pairwise_sims': [0.9472279153228614], 'mean_sim': np.float64(0.9472279153228614)}, 'goed': {'n_occurrences': 7, 'pairwise_sims': [0.9442412161929327, 0.956851187444551, 0.9192228342080259, 0.9408929169645484, 0.9171823899240263, 0.9195483211115802, 0.9472741177401836, 0.9102477469929983, 0.9161249244335021, 0.8985741844773238, 0.8920750393016181, 0.9236690880898637, 0.9463329199643729, 0.8997595601059396, 0.8980453053975496, 0.9070124373073493, 0.9005215081105349, 0.9084369656695884, 0.9151634571635483, 0.8991228634139624, 0.9377971974951433], 'mean_sim': np.float64(0.9189569610242448)}}",{}
179076,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.9504119846150808], 'mean_sim': np.float64(0.9504119846150808)}, 'zalig': {'n_occurrences': 2, 'pairwise_sims': [0.8859620715299387], 'mean_sim': np.float64(0.8859620715299387)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8834811132593129], 'mean_sim': np.float64(0.8834811132593129)}}","{'irritatie': {'n_occurrences': 2, 'pairwise_sims': [0.9215055807327841], 'mean_sim': np.float64(0.9215055807327841)}}"
179076,"{'rustig': {'n_occurrences': 3, 'pairwise_sims': [0.913268682225896, 0.9014613264118427, 0.9305600014834206], 'mean_sim': np.float64(0.9150966700403864)}}",{}
179076,"{'energie': {'n_occurrences': 2, 'pairwise_sims': [0.9692842276184147], 'mean_sim': np.float64(0.9692842276184147)}, 'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.9215524263883956], 'mean_sim': np.float64(0.9215524263883956)}}",{}
179076,{},{}
179076,{},{}
179076,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8503693092978979], 'mean_sim': np.float64(0.8503693092978979)}, 'wakker': {'n_occurrences': 2, 'pairwise_sims': [0.9492011669806218], 'mean_sim': np.float64(0.9492011669806218)}}",{}
179076,"{'bon': {'n_occurrences': 2, 'pairwise_sims': [0.9196438289696812], 'mean_sim': np.float64(0.9196438289696812)}, 'goesting': {'n_occurrences': 2, 'pairwise_sims': [0.9620780853361013], 'mean_sim': np.float64(0.9620780853361013)}}",{}
179076,"{'goed': {'n_occurrences': 4, 'pairwise_sims': [0.8837688233384838, 0.9076108446021982, 0.9065633170670775, 0.9007021246972434, 0.8779432254123399, 0.9477384663832699], 'mean_sim': np.float64(0.9040544669167687)}}",{}
179076,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.9105589789512482], 'mean_sim': np.float64(0.9105589789512482)}}",{}
179076,"{'energie': {'n_occurrences': 2, 'pairwise_sims': [0.9724772869728233], 'mean_sim': np.float64(0.9724772869728233)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9212613311070073], 'mean_sim': np.float64(0.9212613311070073)}}",{}
179076,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.9040923527226953], 'mean_sim': np.float64(0.9040923527226953)}}","{'drukken': {'n_occurrences': 4, 'pairwise_sims': [0.9610981172685819, 0.927335243518794, 0.9033369500169601, 0.9840779569174003, 0.9340337178658633, 0.9348213994405278], 'mean_sim': np.float64(0.9407838975046879)}}"
179076,"{'goed': {'n_occurrences': 6, 'pairwise_sims': [0.8721712197673854, 0.8770734936078353, 0.8835381178016055, 0.8615533800737513, 0.8668654353080404, 0.8586524930478059, 0.8541803417034884, 0.8969339764590847, 0.9047460856652999, 0.8921154692183589, 0.8649640040559128, 0.8866175742372281, 0.8626196615942254, 0.8807270503716432, 0.897053280297397], 'mean_sim': np.float64(0.8773207722139376)}, 'interessant': {'n_occurrences': 2, 'pairwise_sims': [0.9198217331334436], 'mean_sim': np.float64(0.9198217331334436)}}","{'raken': {'n_occurrences': 2, 'pairwise_sims': [0.8550804973762324], 'mean_sim': np.float64(0.8550804973762324)}}"
179076,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.9269875258245823], 'mean_sim': np.float64(0.9269875258245823)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8536829834655554], 'mean_sim': np.float64(0.8536829834655554)}}",{}
179076,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.8372648840563616], 'mean_sim': np.float64(0.8372648840563616)}, 'goed': {'n_occurrences': 8, 'pairwise_sims': [0.8168699394897637, 0.7936045969819423, 0.8452676579749919, 0.8341567581536251, 0.7418235625593614, 0.7572005730261978, 0.960813089567588, 0.8277910203301393, 0.847963293859031, 0.9453069337885711, 0.7540399308261406, 0.775965332265792, 0.7912469952389352, 0.8937361091789446, 0.846816452306142, 0.7175100995454948, 0.7327554806487657, 0.7628865471900027, 0.878262710305919, 0.7911031340120623, 0.8054128137544199, 0.8499473816180728, 0.7898259385910122, 0.8111892911576007, 0.8299108933966495, 0.9882208721731824, 0.7489988454478257, 0.7658843932006185], 'mean_sim': np.float64(0.8180182373781711)}, 'goesting': {'n_occurrences': 3, 'pairwise_sims': [0.9377109729965318, 0.9421282675934851, 0.9353693396197188], 'mean_sim': np.float64(0.9384028600699118)}}",{}
179076,"{'rust': {'n_occurrences': 2, 'pairwise_sims': [0.9704190358375322], 'mean_sim': np.float64(0.9704190358375322)}}",{}
179076,"{'goed': {'n_occurrences': 4, 'pairwise_sims': [0.842974727715622, 0.8433992120614293, 0.9168573685876227, 0.845005313309464, 0.8557583566896916, 0.8460449186816256], 'mean_sim': np.float64(0.8583399828409094)}, 'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.8438158417177473], 'mean_sim': np.float64(0.8438158417177473)}}",{}
179076,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.8818977461378038], 'mean_sim': np.float64(0.8818977461378038)}, 'goed': {'n_occurrences': 5, 'pairwise_sims': [0.7314232615229045, 0.7199662448284522, 0.7509722314144591, 0.7144328617760567, 0.8444147257108938, 0.8637837423256735, 0.8469660817682978, 0.8915369643697981, 0.8545788041838029, 0.8838155086135965], 'mean_sim': np.float64(0.8101890426513935)}}",{}
179076,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.9368755535221701, 0.9211644896096551, 0.9602449947837197], 'mean_sim': np.float64(0.9394283459718483)}}",{}
