connectionId,positive_similarity_results,negative_similarity_results
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9080518353940451], 'mean_sim': np.float64(0.9080518353940451)}}",{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8309876228674755], 'mean_sim': np.float64(0.8309876228674755)}}",{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9810134499417035], 'mean_sim': np.float64(0.9810134499417035)}, 'oké': {'n_occurrences': 2, 'pairwise_sims': [0.9008237963464385], 'mean_sim': np.float64(0.9008237963464385)}}","{'raken': {'n_occurrences': 2, 'pairwise_sims': [0.8963616900068113], 'mean_sim': np.float64(0.8963616900068113)}}"
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9115922755383848], 'mean_sim': np.float64(0.9115922755383848)}}",{}
192568,{},"{'moe': {'n_occurrences': 2, 'pairwise_sims': [0.9859734647838821], 'mean_sim': np.float64(0.9859734647838821)}}"
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9375133960350829], 'mean_sim': np.float64(0.9375133960350829)}}",{}
192568,"{'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.8777772974362238], 'mean_sim': np.float64(0.8777772974362238)}}",{}
192568,{},{}
192568,{},{}
192568,{},"{'kwaad': {'n_occurrences': 2, 'pairwise_sims': [0.8406739049740191], 'mean_sim': np.float64(0.8406739049740191)}}"
192568,{},{}
192568,{},{}
192568,{},"{'raken': {'n_occurrences': 2, 'pairwise_sims': [0.6797156954532328], 'mean_sim': np.float64(0.6797156954532328)}}"
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'ça_va': {'n_occurrences': 2, 'pairwise_sims': [0.9728449949613367], 'mean_sim': np.float64(0.9728449949613367)}}",{}
192568,{},{}
192568,{},"{'raken': {'n_occurrences': 2, 'pairwise_sims': [0.8313249163543263], 'mean_sim': np.float64(0.8313249163543263)}}"
192568,{},{}
192568,{},{}
192568,"{'wakker': {'n_occurrences': 2, 'pairwise_sims': [0.9450784137621697], 'mean_sim': np.float64(0.9450784137621697)}, 'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.9618067051488391], 'mean_sim': np.float64(0.9618067051488391)}, 'oké': {'n_occurrences': 3, 'pairwise_sims': [0.9494239276177431, 0.8298003434022259, 0.8151955799874541], 'mean_sim': np.float64(0.8648066170024743)}}",{}
192568,{},{}
192568,{},"{'missen': {'n_occurrences': 2, 'pairwise_sims': [0.9785179901028431], 'mean_sim': np.float64(0.9785179901028431)}}"
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'geweldig': {'n_occurrences': 2, 'pairwise_sims': [0.7797724028602071], 'mean_sim': np.float64(0.7797724028602071)}}",{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8641469994408362], 'mean_sim': np.float64(0.8641469994408362)}}",{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},"{'raken': {'n_occurrences': 2, 'pairwise_sims': [0.9490152437149981], 'mean_sim': np.float64(0.9490152437149981)}}"
192568,{},{}
192568,{},{}
192568,"{'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.924909071984126], 'mean_sim': np.float64(0.924909071984126)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8755833595138194], 'mean_sim': np.float64(0.8755833595138194)}}",{}
192568,"{'interessant': {'n_occurrences': 2, 'pairwise_sims': [0.9474895641534452], 'mean_sim': np.float64(0.9474895641534452)}}",{}
192568,{},{}
192568,{},{}
192568,{},"{'twijfelen': {'n_occurrences': 2, 'pairwise_sims': [0.895555016108891], 'mean_sim': np.float64(0.895555016108891)}}"
192568,"{'oké': {'n_occurrences': 2, 'pairwise_sims': [0.9261805707848614], 'mean_sim': np.float64(0.9261805707848614)}}",{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9207513828765507], 'mean_sim': np.float64(0.9207513828765507)}}",{}
192568,{},{}
192568,{},"{'moe': {'n_occurrences': 2, 'pairwise_sims': [0.9673330014141934], 'mean_sim': np.float64(0.9673330014141934)}}"
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9112826281019539], 'mean_sim': np.float64(0.9112826281019539)}}",{}
192568,{},{}
192568,"{'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.895835028989508], 'mean_sim': np.float64(0.895835028989508)}}",{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9291637523331098], 'mean_sim': np.float64(0.9291637523331098)}}",{}
192568,{},{}
192568,{},{}
192568,"{'oké': {'n_occurrences': 2, 'pairwise_sims': [0.9349212404125797], 'mean_sim': np.float64(0.9349212404125797)}}",{}
192568,{},{}
192568,{},{}
192568,{},"{'raken': {'n_occurrences': 2, 'pairwise_sims': [0.845523344818944], 'mean_sim': np.float64(0.845523344818944)}}"
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9035300285552184], 'mean_sim': np.float64(0.9035300285552184)}, 'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.8624779950349886], 'mean_sim': np.float64(0.8624779950349886)}}","{'rot': {'n_occurrences': 2, 'pairwise_sims': [0.8712394780693115], 'mean_sim': np.float64(0.8712394780693115)}}"
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9241587605118858], 'mean_sim': np.float64(0.9241587605118858)}}",{}
192568,"{'tof': {'n_occurrences': 2, 'pairwise_sims': [0.8972179299040236], 'mean_sim': np.float64(0.8972179299040236)}, 'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.9575235157231334], 'mean_sim': np.float64(0.9575235157231334)}}",{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 4, 'pairwise_sims': [0.9951355319241969, 0.8878887188311948, 0.8868583431982845, 0.8814455606937595, 0.8774691706649633, 0.893501177622557], 'mean_sim': np.float64(0.9037164171558261)}}",{}
192568,{},{}
192568,"{'oké': {'n_occurrences': 2, 'pairwise_sims': [0.7419356355070388], 'mean_sim': np.float64(0.7419356355070388)}}",{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9586124795635397], 'mean_sim': np.float64(0.9586124795635397)}}",{}
192568,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.9683428974290779], 'mean_sim': np.float64(0.9683428974290779)}}",{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8354652905768402], 'mean_sim': np.float64(0.8354652905768402)}, 'oké': {'n_occurrences': 2, 'pairwise_sims': [0.7622047693732119], 'mean_sim': np.float64(0.7622047693732119)}}",{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'oké': {'n_occurrences': 2, 'pairwise_sims': [0.8702785256718456], 'mean_sim': np.float64(0.8702785256718456)}}",{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'alright': {'n_occurrences': 2, 'pairwise_sims': [0.9509781413770138], 'mean_sim': np.float64(0.9509781413770138)}}",{}
192568,{},{}
192568,"{'tof': {'n_occurrences': 2, 'pairwise_sims': [0.9529390070763195], 'mean_sim': np.float64(0.9529390070763195)}}",{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 4, 'pairwise_sims': [0.908841034830205, 0.9206458828214192, 0.891549741474003, 0.8764478796689692, 0.9085991687192858, 0.859092143542199], 'mean_sim': np.float64(0.8941959751760136)}}",{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8966168670273331], 'mean_sim': np.float64(0.8966168670273331)}}",{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8386239937288783], 'mean_sim': np.float64(0.8386239937288783)}}",{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,{},{}
192568,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9172656224166972], 'mean_sim': np.float64(0.9172656224166972)}}",{}
192568,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.9352937972777502, 0.8868262021806028, 0.880546773942276], 'mean_sim': np.float64(0.9008889244668764)}}",{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,{},"{'frustreren': {'n_occurrences': 2, 'pairwise_sims': [0.9408392751274515], 'mean_sim': np.float64(0.9408392751274515)}}"
194581,{},"{'slecht': {'n_occurrences': 2, 'pairwise_sims': [0.773032036282776], 'mean_sim': np.float64(0.773032036282776)}}"
194581,{},{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.9243299325200793, 0.8859834619773617, 0.887585243528358], 'mean_sim': np.float64(0.8992995460085996)}}",{}
194581,{},{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8906189532707712], 'mean_sim': np.float64(0.8906189532707712)}}",{}
194581,"{'productief': {'n_occurrences': 2, 'pairwise_sims': [0.9516516663205007], 'mean_sim': np.float64(0.9516516663205007)}, 'normaal': {'n_occurrences': 2, 'pairwise_sims': [0.9021800166251736], 'mean_sim': np.float64(0.9021800166251736)}}",{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8198599685835855], 'mean_sim': np.float64(0.8198599685835855)}}",{}
194581,"{'goed': {'n_occurrences': 4, 'pairwise_sims': [0.8989290229234997, 0.8922981720675177, 0.900129812713972, 0.9165231821873698, 0.9280545430690637, 0.9708849243734639], 'mean_sim': np.float64(0.9178032762224811)}, 'uit_kijken': {'n_occurrences': 2, 'pairwise_sims': [0.9652419934434442], 'mean_sim': np.float64(0.9652419934434442)}}",{}
194581,{},{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9037413517686177], 'mean_sim': np.float64(0.9037413517686177)}, 'blij': {'n_occurrences': 2, 'pairwise_sims': [0.9150153907460207], 'mean_sim': np.float64(0.9150153907460207)}}",{}
194581,{},{}
194581,{},{}
194581,"{'wakker': {'n_occurrences': 2, 'pairwise_sims': [0.9015673510836787], 'mean_sim': np.float64(0.9015673510836787)}, 'oké': {'n_occurrences': 2, 'pairwise_sims': [0.9396321113990941], 'mean_sim': np.float64(0.9396321113990941)}}",{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,{},"{'missen': {'n_occurrences': 2, 'pairwise_sims': [0.9207379209054706], 'mean_sim': np.float64(0.9207379209054706)}}"
194581,{},{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,{},"{'moe': {'n_occurrences': 2, 'pairwise_sims': [0.9412253590645219], 'mean_sim': np.float64(0.9412253590645219)}}"
194581,{},{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9029592296702799], 'mean_sim': np.float64(0.9029592296702799)}, 'hoop': {'n_occurrences': 2, 'pairwise_sims': [0.8776102942507042], 'mean_sim': np.float64(0.8776102942507042)}}",{}
194581,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.9216792080400571, 0.9198131414714483, 0.8892203818310126], 'mean_sim': np.float64(0.9102375771141727)}}",{}
194581,"{'tof': {'n_occurrences': 2, 'pairwise_sims': [0.9640598484119808], 'mean_sim': np.float64(0.9640598484119808)}, 'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.9043514568306111], 'mean_sim': np.float64(0.9043514568306111)}}",{}
194581,{},{}
194581,{},"{'moe': {'n_occurrences': 2, 'pairwise_sims': [0.9831461814906092], 'mean_sim': np.float64(0.9831461814906092)}}"
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9736772675107828], 'mean_sim': np.float64(0.9736772675107828)}}",{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.876151896069673], 'mean_sim': np.float64(0.876151896069673)}}",{}
194581,{},{}
194581,{},"{'raken': {'n_occurrences': 2, 'pairwise_sims': [0.8064630468986272], 'mean_sim': np.float64(0.8064630468986272)}}"
194581,{},{}
194581,{},{}
194581,"{'blij': {'n_occurrences': 2, 'pairwise_sims': [0.9307735781992965], 'mean_sim': np.float64(0.9307735781992965)}}",{}
194581,{},{}
194581,"{'grappig': {'n_occurrences': 2, 'pairwise_sims': [0.9584219221743323], 'mean_sim': np.float64(0.9584219221743323)}}",{}
194581,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.8370184475288436], 'mean_sim': np.float64(0.8370184475288436)}}",{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 6, 'pairwise_sims': [0.8517034794276181, 0.8603857845685319, 0.8667630999130709, 0.8992189979232776, 0.8920111737226146, 0.8658405689548773, 0.8716286771540726, 0.8676801243413138, 0.8178210859274233, 0.9349312649303346, 0.8887736982237474, 0.8382703592378133, 0.8993026246122953, 0.844369026213515, 0.899948730076266], 'mean_sim': np.float64(0.8732432463484515)}, 'oké': {'n_occurrences': 2, 'pairwise_sims': [0.8630882121164147], 'mean_sim': np.float64(0.8630882121164147)}}",{}
194581,"{'blij': {'n_occurrences': 2, 'pairwise_sims': [0.920217119305097], 'mean_sim': np.float64(0.920217119305097)}}",{}
194581,"{'wakker': {'n_occurrences': 2, 'pairwise_sims': [0.9555141090499532], 'mean_sim': np.float64(0.9555141090499532)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9277519900885892], 'mean_sim': np.float64(0.9277519900885892)}}",{}
194581,"{'normaal': {'n_occurrences': 2, 'pairwise_sims': [0.8909977328417585], 'mean_sim': np.float64(0.8909977328417585)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9145653666334981], 'mean_sim': np.float64(0.9145653666334981)}, 'benieuwd': {'n_occurrences': 2, 'pairwise_sims': [0.903781164568116], 'mean_sim': np.float64(0.903781164568116)}}",{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8816695343569063], 'mean_sim': np.float64(0.8816695343569063)}}",{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.910214924941576], 'mean_sim': np.float64(0.910214924941576)}}",{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,"{'lief': {'n_occurrences': 3, 'pairwise_sims': [0.9293870195587688, 0.9202003444674239, 0.9075378771531788], 'mean_sim': np.float64(0.9190417470597906)}}",{}
194581,{},{}
194581,{},"{'raken': {'n_occurrences': 2, 'pairwise_sims': [0.9834299746263065], 'mean_sim': np.float64(0.9834299746263065)}}"
194581,"{'normaal': {'n_occurrences': 2, 'pairwise_sims': [0.9097023794044775], 'mean_sim': np.float64(0.9097023794044775)}, 'blij': {'n_occurrences': 2, 'pairwise_sims': [0.9420005233692244], 'mean_sim': np.float64(0.9420005233692244)}, 'goed': {'n_occurrences': 4, 'pairwise_sims': [0.8270231114864381, 0.8930304086725016, 0.835349515920846, 0.828530984221066, 0.8260717330183369, 0.864432063951926], 'mean_sim': np.float64(0.8457396362118526)}}","{'belachelijk': {'n_occurrences': 2, 'pairwise_sims': [0.885737596673609], 'mean_sim': np.float64(0.885737596673609)}}"
194581,{},{}
194581,{},{}
194581,"{'blij': {'n_occurrences': 2, 'pairwise_sims': [0.8754379834417707], 'mean_sim': np.float64(0.8754379834417707)}}",{}
194581,"{'goed': {'n_occurrences': 4, 'pairwise_sims': [0.8683545807030275, 0.8282713516140019, 0.8451853751540912, 0.8768155428111135, 0.8439852434929542, 0.8367639418056303], 'mean_sim': np.float64(0.8498960059301365)}}",{}
194581,{},{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9538619224193409], 'mean_sim': np.float64(0.9538619224193409)}}","{'kapot': {'n_occurrences': 3, 'pairwise_sims': [0.9261985770096197, 0.9454644740350032, 0.987350230014604], 'mean_sim': np.float64(0.9530044270197423)}}"
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8247658996873156], 'mean_sim': np.float64(0.8247658996873156)}, 'energiek': {'n_occurrences': 2, 'pairwise_sims': [0.953249703071191], 'mean_sim': np.float64(0.953249703071191)}}","{'moe': {'n_occurrences': 5, 'pairwise_sims': [0.9667135149753311, 0.9405872516339131, 0.9275906067806531, 0.9335258367955337, 0.9383344688933482, 0.9338220830186291, 0.9312154888970394, 0.9706697725368616, 0.9353958466751547, 0.9417156304208611], 'mean_sim': np.float64(0.9419570500627324)}}"
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8398738880328487], 'mean_sim': np.float64(0.8398738880328487)}}",{}
194581,"{'oké': {'n_occurrences': 2, 'pairwise_sims': [0.9190378965493141], 'mean_sim': np.float64(0.9190378965493141)}}","{'honger': {'n_occurrences': 2, 'pairwise_sims': [0.9581470304871494], 'mean_sim': np.float64(0.9581470304871494)}}"
194581,"{'normaal': {'n_occurrences': 2, 'pairwise_sims': [0.8823632649839643], 'mean_sim': np.float64(0.8823632649839643)}}","{'raken': {'n_occurrences': 2, 'pairwise_sims': [0.8425860889534449], 'mean_sim': np.float64(0.8425860889534449)}}"
194581,"{'leuk': {'n_occurrences': 3, 'pairwise_sims': [0.971546615430031, 0.9669237877026708, 0.9780007619337492], 'mean_sim': np.float64(0.9721570550221502)}}",{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8912176435432168], 'mean_sim': np.float64(0.8912176435432168)}, 'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.9732405496963088], 'mean_sim': np.float64(0.9732405496963088)}}","{'missen': {'n_occurrences': 3, 'pairwise_sims': [0.9297622974459767, 0.9353040536667936, 0.9420119706047335], 'mean_sim': np.float64(0.9356927739058346)}}"
194581,{},{}
194581,{},{}
194581,"{'oké': {'n_occurrences': 2, 'pairwise_sims': [0.8727068391137351], 'mean_sim': np.float64(0.8727068391137351)}}",{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8794023908383162], 'mean_sim': np.float64(0.8794023908383162)}}",{}
194581,{},{}
194581,"{'leuk': {'n_occurrences': 4, 'pairwise_sims': [0.915430807401423, 0.9181845967771891, 0.8630781317772893, 0.884902445192058, 0.8808643494535514, 0.8544784078529499], 'mean_sim': np.float64(0.8861564564090768)}}",{}
194581,{},"{'missen': {'n_occurrences': 2, 'pairwise_sims': [0.8942024082428202], 'mean_sim': np.float64(0.8942024082428202)}}"
194581,{},{}
194581,"{'gelukkig': {'n_occurrences': 2, 'pairwise_sims': [0.857959415837899], 'mean_sim': np.float64(0.857959415837899)}}",{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8556332551119966], 'mean_sim': np.float64(0.8556332551119966)}}",{}
194581,{},{}
194581,{},{}
194581,{},"{'missen': {'n_occurrences': 2, 'pairwise_sims': [0.9631470838743384], 'mean_sim': np.float64(0.9631470838743384)}}"
194581,{},{}
194581,{},{}
194581,{},{}
194581,{},"{'slecht': {'n_occurrences': 3, 'pairwise_sims': [0.9250981720826883, 0.9241479003767205, 0.9120136309146174], 'mean_sim': np.float64(0.9204199011246753)}}"
194581,{},{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9087524595372961], 'mean_sim': np.float64(0.9087524595372961)}}",{}
194581,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8920828782612397, 0.8760175731905449, 0.9025045380613681], 'mean_sim': np.float64(0.8902016631710508)}}",{}
194581,{},"{'raken': {'n_occurrences': 2, 'pairwise_sims': [0.7932551149047897], 'mean_sim': np.float64(0.7932551149047897)}}"
194581,{},{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.929265403569489], 'mean_sim': np.float64(0.929265403569489)}}",{}
194581,"{'tof': {'n_occurrences': 2, 'pairwise_sims': [0.9379768175496382], 'mean_sim': np.float64(0.9379768175496382)}}",{}
194581,{},{}
194581,{},{}
194581,"{'productief': {'n_occurrences': 2, 'pairwise_sims': [0.9632228302689965], 'mean_sim': np.float64(0.9632228302689965)}}","{'af_leiden': {'n_occurrences': 2, 'pairwise_sims': [0.9665913376688555], 'mean_sim': np.float64(0.9665913376688555)}}"
194581,{},{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.7605160852902788], 'mean_sim': np.float64(0.7605160852902788)}}",{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8853350961388684], 'mean_sim': np.float64(0.8853350961388684)}}",{}
194581,{},{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.9256208036172863, 0.9491025144600097, 0.9428829639482386], 'mean_sim': np.float64(0.9392020940085115)}, 'blij': {'n_occurrences': 2, 'pairwise_sims': [0.9045696939239242], 'mean_sim': np.float64(0.9045696939239242)}}",{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8936883849892763], 'mean_sim': np.float64(0.8936883849892763)}}",{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 5, 'pairwise_sims': [0.9802287446186005, 0.9273677845909462, 0.9077924793530591, 0.7958503510653262, 0.908354087162184, 0.8881175470715503, 0.7584340232611823, 0.8848739485438482, 0.8535941669419506, 0.8585304616685926], 'mean_sim': np.float64(0.8763143594277241)}, 'concentratie': {'n_occurrences': 2, 'pairwise_sims': [0.9468347216530136], 'mean_sim': np.float64(0.9468347216530136)}}",{}
194581,{},{}
194581,{},{}
194581,"{'normaal': {'n_occurrences': 2, 'pairwise_sims': [0.8852769339337416], 'mean_sim': np.float64(0.8852769339337416)}}",{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,{},"{'af_leiden': {'n_occurrences': 2, 'pairwise_sims': [0.9785119004207262], 'mean_sim': np.float64(0.9785119004207262)}}"
194581,{},{}
194581,"{'tof': {'n_occurrences': 2, 'pairwise_sims': [0.9397426759478416], 'mean_sim': np.float64(0.9397426759478416)}}",{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.9347984044701059, 0.89571574963315, 0.931077112599024], 'mean_sim': np.float64(0.9205304222340933)}}",{}
194581,{},{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9017279080520186], 'mean_sim': np.float64(0.9017279080520186)}, 'concentratie': {'n_occurrences': 2, 'pairwise_sims': [0.946800464582304], 'mean_sim': np.float64(0.946800464582304)}}",{}
194581,"{'actief': {'n_occurrences': 2, 'pairwise_sims': [0.912529420392113], 'mean_sim': np.float64(0.912529420392113)}}",{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8820558526997373, 0.8059598367614653, 0.8995018515078005], 'mean_sim': np.float64(0.8625058469896677)}}",{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8140262441990068, 0.843286134174253, 0.8935837611567544], 'mean_sim': np.float64(0.8502987131766715)}}",{}
194581,"{'bon': {'n_occurrences': 2, 'pairwise_sims': [0.9365889842857963], 'mean_sim': np.float64(0.9365889842857963)}}",{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8855366364277238, 0.8978257076548096, 0.8751654244428789], 'mean_sim': np.float64(0.8861759228418041)}}",{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8378144628557458], 'mean_sim': np.float64(0.8378144628557458)}}",{}
194581,{},"{'moe': {'n_occurrences': 2, 'pairwise_sims': [0.9540722516033049], 'mean_sim': np.float64(0.9540722516033049)}}"
194581,{},{}
194581,"{'blij': {'n_occurrences': 2, 'pairwise_sims': [0.9711567501990398], 'mean_sim': np.float64(0.9711567501990398)}}",{}
194581,{},{}
194581,"{'wakker': {'n_occurrences': 2, 'pairwise_sims': [0.9531257008279794], 'mean_sim': np.float64(0.9531257008279794)}}",{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,{},{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.7779820178211185], 'mean_sim': np.float64(0.7779820178211185)}}",{}
194581,{},{}
194581,"{'vrij': {'n_occurrences': 2, 'pairwise_sims': [0.915727361668942], 'mean_sim': np.float64(0.915727361668942)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8687387481126075], 'mean_sim': np.float64(0.8687387481126075)}}",{}
194581,{},{}
194581,{},{}
194581,{},"{'angstig': {'n_occurrences': 2, 'pairwise_sims': [0.9614016820948057], 'mean_sim': np.float64(0.9614016820948057)}}"
194581,"{'normaal': {'n_occurrences': 2, 'pairwise_sims': [0.8507660009277199], 'mean_sim': np.float64(0.8507660009277199)}}",{}
194581,"{'wakker': {'n_occurrences': 3, 'pairwise_sims': [0.9561574610237762, 0.9516971272672236, 0.9569084691129475], 'mean_sim': np.float64(0.9549210191346491)}}",{}
194581,{},{}
194581,"{'blij': {'n_occurrences': 2, 'pairwise_sims': [0.9661465083995653], 'mean_sim': np.float64(0.9661465083995653)}}",{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.854109768471861], 'mean_sim': np.float64(0.854109768471861)}, 'blij': {'n_occurrences': 2, 'pairwise_sims': [0.9359805157872354], 'mean_sim': np.float64(0.9359805157872354)}}",{}
194581,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8937417825178131], 'mean_sim': np.float64(0.8937417825178131)}, 'uit_kijken': {'n_occurrences': 2, 'pairwise_sims': [0.9750409065144325], 'mean_sim': np.float64(0.9750409065144325)}}",{}
194581,{},{}
194581,"{'interesse': {'n_occurrences': 2, 'pairwise_sims': [0.9518031777508609], 'mean_sim': np.float64(0.9518031777508609)}}",{}
194581,{},"{'missen': {'n_occurrences': 2, 'pairwise_sims': [0.9733437919016729], 'mean_sim': np.float64(0.9733437919016729)}}"
194581,"{'tof': {'n_occurrences': 2, 'pairwise_sims': [0.8771878884410202], 'mean_sim': np.float64(0.8771878884410202)}}",{}
194581,"{'normaal': {'n_occurrences': 2, 'pairwise_sims': [0.9320596962263811], 'mean_sim': np.float64(0.9320596962263811)}}",{}
194581,{},{}
194581,"{'lekker': {'n_occurrences': 2, 'pairwise_sims': [0.9439359566068637], 'mean_sim': np.float64(0.9439359566068637)}}",{}
194581,{},{}
194581,{},{}
194581,"{'bon': {'n_occurrences': 3, 'pairwise_sims': [0.9359404595170736, 0.9039958849337261, 0.9408788139755792], 'mean_sim': np.float64(0.9269383861421262)}, 'tof': {'n_occurrences': 2, 'pairwise_sims': [0.8755272257623894], 'mean_sim': np.float64(0.8755272257623894)}}",{}
194581,{},{}
194581,{},{}
194581,{},{}
